2025-06-05 10:49:01.029 GMT,,,1,,6841761d.1,1,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"starting PostgreSQL 14.18 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5), 64-bit",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.029 GMT,,,1,,6841761d.1,2,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.029 GMT,,,1,,6841761d.1,3,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"listening on IPv6 address ""::"", port 5432",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.030 GMT,,,1,,6841761d.1,4,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"listening on Unix socket ""/run/postgresql/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.031 GMT,,,1,,6841761d.1,5,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"listening on Unix socket ""/tmp/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.033 GMT,,,29,,6841761d.1d,1,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"database system was shut down at 2025-06-05 10:49:01 GMT",,,,,,,,,"","startup",,0
2025-06-05 10:49:01.035 GMT,,,1,,6841761d.1,1,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"starting PostgreSQL 14.18 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5), 64-bit",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.035 GMT,,,1,,6841761d.1,6,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.035 GMT,,,1,,6841761d.1,2,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,,"","postmaster",,0
2025-06-05 10:49:01.035 GMT,,,35,,6841761d.23,1,,2025-06-05 10:49:01 GMT,,0,LOG,00000,"starting pg_failover_slots replica worker",,,,,,,,,"pg_failover_slots worker","pg_failover_slots worker",,0
